@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,1534712439,6892,167772687,1044,0,0,1,67
Malware,17,1534712440,6892,167772687,1044,0,0,1,67
Malware,17,1534712441,6892,167772687,1044,0,0,1,67
Malware,17,1534712442,6892,167772687,1044,0,0,1,67
Malware,17,1534712443,6892,167772687,1044,0,0,1,67
Malware,17,1534712444,6892,167772687,1044,0,0,1,67
Malware,17,1534712445,6892,167772687,1044,0,0,1,67
Malware,17,1534712446,6892,167772687,1044,0,0,1,67
Malware,17,1534712447,6892,167772687,1044,0,0,1,67
Malware,17,1534712448,6892,167772687,1044,0,0,1,67
Malware,17,1534712449,6892,167772687,1044,0,0,1,67
Malware,17,1534712450,6892,167772687,1044,0,0,1,67
Malware,17,1534712451,6892,167772687,1044,0,0,1,67
Malware,17,1534712452,6892,167772687,1044,0,0,1,67
Malware,17,1534712453,6892,167772687,1044,0,0,1,67
Malware,17,1534712454,6892,167772687,1044,0,0,1,67
Malware,17,1534712455,6892,167772687,1044,0,0,1,67
Malware,17,1534712456,6892,167772687,1044,0,0,1,67
Malware,17,1534712457,6892,167772687,1044,0,0,1,67
Malware,17,1534712458,6892,167772687,1044,0,0,1,67
Malware,17,1534712459,6892,167772687,1044,0,0,1,67
Malware,17,1534712460,6892,167772687,1044,0,0,1,67
Malware,17,1534712461,6892,167772687,1044,0,0,1,67
Malware,17,1534712462,6892,167772687,1044,0,0,1,67
Malware,17,1534712463,6892,167772687,1044,0,0,1,67
Malware,17,1534712464,6892,167772687,1044,0,0,1,67
Malware,17,1534712465,6892,167772687,1044,0,0,1,67
Malware,17,1534712466,6892,167772687,1044,0,0,1,67
Malware,17,1534712467,6892,167772687,1044,0,0,1,67
Malware,17,1534712468,6892,167772687,1044,0,0,1,67
Malware,17,1534712469,6892,167772687,1044,0,0,1,67
Malware,17,1534712470,6892,167772687,1044,0,0,1,67
Malware,17,1534712471,6892,167772687,1044,0,0,1,67
Malware,17,1534712472,6892,167772687,1044,0,0,1,67
Malware,17,1534712473,6892,167772687,1044,0,0,1,67
Malware,17,1534712474,6892,167772687,1044,0,0,1,67
Malware,17,1534712475,6892,167772687,1044,0,0,1,67
Malware,17,1534712476,6892,167772687,1044,0,0,1,67
Malware,17,1534712477,6892,167772687,1044,0,0,1,67
Malware,17,1534712478,6892,167772687,1044,0,0,1,67
Malware,17,1534712479,6892,167772687,1044,0,0,1,67
Malware,17,1534712480,6892,167772687,1044,0,0,1,67
Malware,17,1534712481,6892,167772687,1044,0,0,1,67
Malware,17,1534712482,6892,167772687,1044,0,0,1,67
Malware,17,1534712483,6892,167772687,1044,0,0,1,67
Malware,17,1534712484,6892,167772687,1044,0,0,1,67
Malware,17,1534712485,6892,167772687,1044,0,0,1,67
Malware,17,1534712486,6892,167772687,1044,0,0,1,67
Malware,17,1534712487,6892,167772687,1044,0,0,1,67
Malware,17,1534712488,6892,167772687,1044,0,0,1,67
Malware,17,1534712489,6892,167772687,1044,0,0,1,67
Malware,17,1534712490,6892,167772687,1044,0,0,1,67
Malware,17,1534712491,6892,167772687,1044,0,0,1,67
Malware,17,1534712492,6892,167772687,1044,0,0,1,67
Malware,17,1534712493,6892,167772687,1044,0,0,1,67
Malware,17,1534712494,6892,167772687,1044,0,0,1,67
Malware,17,1534712495,6892,167772687,1044,0,0,1,67
Malware,17,1534712496,6892,167772687,1044,0,0,1,67
Malware,17,1534712497,6892,167772687,1044,0,0,1,67
Malware,17,1534712498,6892,167772687,1044,0,0,1,67
Malware,17,1534712499,6892,167772687,1044,0,0,1,67
Malware,17,1534712500,6892,167772687,1044,0,0,1,67
Malware,17,1534712501,6892,167772687,1044,0,0,1,67
Malware,17,1534712502,6892,167772687,1044,0,0,1,67
